polarity	predict	P(s=-1)	P(s=1)
-1	-1	0.71987	0.28013
1	1	0.26701	0.73299
1	1	0.19376	0.80624
1	1	0.49493	0.50507
-1	-1	0.79434	0.20566
-1	-1	0.90981	0.09019
-1	-1	0.66612	0.33388
1	-1	0.50486	0.49514
-1	-1	0.67343	0.32657
-1	-1	0.61063	0.38937
1	1	0.36543	0.63457
1	1	0.41254	0.58746
-1	1	0.46980	0.53020
-1	-1	0.73209	0.26791
1	1	0.29720	0.70280
1	1	0.23009	0.76991
1	1	0.16987	0.83013
-1	-1	0.66594	0.33406
-1	-1	0.60096	0.39904
1	1	0.24873	0.75127
-1	-1	0.80983	0.19017
1	1	0.37821	0.62179
-1	1	0.46119	0.53881
-1	-1	0.75973	0.24027
1	1	0.15042	0.84958
-1	-1	0.67607	0.32393
1	1	0.19565	0.80435
-1	-1	0.55192	0.44808
-1	-1	0.66313	0.33687
-1	-1	0.57201	0.42799
-1	-1	0.69635	0.30365
1	1	0.30958	0.69042
-1	-1	0.50864	0.49136
-1	-1	0.57654	0.42346
1	1	0.18501	0.81499
1	-1	0.50784	0.49216
1	1	0.37766	0.62234
1	1	0.34913	0.65087
-1	-1	0.68158	0.31842
1	1	0.34223	0.65777
1	1	0.31764	0.68236
1	1	0.12198	0.87802
-1	1	0.45324	0.54676
1	1	0.34028	0.65972
1	-1	0.59240	0.40760
1	1	0.46884	0.53116
-1	-1	0.82945	0.17055
1	1	0.36988	0.63012
1	1	0.37793	0.62207
-1	-1	0.81696	0.18304
1	1	0.25613	0.74387
1	-1	0.52399	0.47601
-1	-1	0.74782	0.25218
1	1	0.31530	0.68470
1	1	0.40897	0.59103
-1	-1	0.82473	0.17527
1	1	0.21520	0.78480
-1	-1	0.75189	0.24811
1	1	0.35348	0.64652
-1	-1	0.69058	0.30942
-1	-1	0.71418	0.28582
-1	-1	0.78733	0.21267
-1	-1	0.52853	0.47147
1	1	0.44104	0.55896
1	1	0.36495	0.63505
-1	-1	0.56850	0.43150
1	1	0.40382	0.59618
1	1	0.45462	0.54538
1	1	0.34975	0.65025
1	1	0.33559	0.66441
1	1	0.48594	0.51406
-1	-1	0.72862	0.27138
-1	1	0.43666	0.56334
1	1	0.16575	0.83425
1	-1	0.55294	0.44706
1	1	0.42432	0.57568
-1	-1	0.56066	0.43934
-1	-1	0.83524	0.16476
1	1	0.25306	0.74694
-1	-1	0.69980	0.30020
-1	-1	0.55691	0.44309
-1	-1	0.75272	0.24728
-1	-1	0.71644	0.28356
1	1	0.27125	0.72875
1	1	0.18818	0.81182
-1	1	0.46539	0.53461
1	1	0.43097	0.56903
-1	-1	0.66463	0.33537
-1	-1	0.79043	0.20957
-1	1	0.45879	0.54121
1	1	0.41958	0.58042
1	1	0.26302	0.73698
1	1	0.27681	0.72319
1	1	0.11109	0.88891
1	1	0.37964	0.62036
1	1	0.33428	0.66572
-1	-1	0.70769	0.29231
-1	-1	0.73970	0.26030
-1	-1	0.82701	0.17299
-1	-1	0.80080	0.19920
1	1	0.15049	0.84951
1	1	0.17343	0.82657
1	-1	0.62305	0.37695
-1	-1	0.81130	0.18870
1	1	0.37119	0.62881
1	1	0.33487	0.66513
-1	-1	0.75436	0.24564
1	1	0.24281	0.75719
1	1	0.47069	0.52931
1	1	0.17530	0.82470
1	1	0.22695	0.77305
-1	-1	0.63515	0.36485
1	1	0.49790	0.50210
1	1	0.23556	0.76444
-1	-1	0.77280	0.22720
1	1	0.31115	0.68885
1	1	0.30856	0.69144
-1	-1	0.62919	0.37081
-1	-1	0.83906	0.16094
1	1	0.41248	0.58752
-1	-1	0.85808	0.14192
-1	-1	0.62859	0.37141
1	1	0.17327	0.82673
1	1	0.14442	0.85558
1	1	0.35778	0.64222
1	1	0.17529	0.82471
1	-1	0.51759	0.48241
1	1	0.43307	0.56693
1	1	0.24217	0.75783
-1	1	0.35423	0.64577
-1	-1	0.52062	0.47938
1	-1	0.67649	0.32351
-1	-1	0.64977	0.35023
1	1	0.21763	0.78237
-1	-1	0.62774	0.37226
1	1	0.47934	0.52066
-1	-1	0.67519	0.32481
1	1	0.48008	0.51992
-1	-1	0.80712	0.19288
-1	-1	0.62174	0.37826
1	1	0.49425	0.50575
-1	-1	0.53510	0.46490
-1	-1	0.55829	0.44171
-1	-1	0.64986	0.35014
-1	-1	0.62649	0.37351
1	1	0.40152	0.59848
-1	-1	0.65256	0.34744
-1	-1	0.58047	0.41953
1	1	0.18405	0.81595
1	1	0.43947	0.56053
1	1	0.07862	0.92138
-1	-1	0.77747	0.22253
-1	-1	0.74785	0.25215
1	1	0.40257	0.59743
-1	-1	0.66251	0.33749
1	1	0.44820	0.55180
1	1	0.26391	0.73609
-1	-1	0.54905	0.45095
-1	-1	0.83655	0.16345
1	1	0.28533	0.71467
1	-1	0.55928	0.44072
-1	-1	0.75021	0.24979
1	1	0.23759	0.76241
-1	-1	0.59006	0.40994
-1	-1	0.77705	0.22295
-1	-1	0.83544	0.16456
1	1	0.16792	0.83208
-1	-1	0.72594	0.27406
-1	-1	0.69141	0.30859
-1	1	0.45011	0.54989
1	1	0.46926	0.53074
1	1	0.40698	0.59302
-1	1	0.36706	0.63294
1	1	0.38498	0.61502
-1	-1	0.57659	0.42341
-1	-1	0.70997	0.29003
-1	-1	0.84831	0.15169
1	1	0.19953	0.80047
1	1	0.31427	0.68573
1	1	0.26480	0.73520
-1	-1	0.65219	0.34781
-1	-1	0.74223	0.25777
-1	-1	0.74755	0.25245
-1	-1	0.61326	0.38674
1	1	0.38873	0.61127
-1	-1	0.59579	0.40421
1	1	0.44180	0.55820
1	1	0.20524	0.79476
-1	-1	0.72152	0.27848
-1	-1	0.60786	0.39214
1	1	0.25873	0.74127
-1	-1	0.63563	0.36437
1	1	0.43099	0.56901
-1	-1	0.69516	0.30484
1	1	0.21700	0.78300
1	-1	0.54122	0.45878
1	1	0.23958	0.76042
1	-1	0.55485	0.44515
1	1	0.36983	0.63017
-1	-1	0.74094	0.25906
-1	-1	0.74944	0.25056
1	1	0.46385	0.53615
-1	-1	0.51336	0.48664
-1	-1	0.64409	0.35591
-1	-1	0.66862	0.33138
-1	-1	0.70635	0.29365
1	1	0.46840	0.53160
-1	-1	0.66821	0.33179
-1	-1	0.52850	0.47150
-1	-1	0.59710	0.40290
-1	-1	0.78553	0.21447
1	-1	0.50615	0.49385
-1	-1	0.82156	0.17844
-1	1	0.38977	0.61023
1	1	0.16434	0.83566
-1	-1	0.89418	0.10582
1	1	0.18988	0.81012
1	1	0.23597	0.76403
-1	-1	0.70862	0.29138
-1	-1	0.50419	0.49581
1	1	0.45136	0.54864
-1	-1	0.65359	0.34641
-1	-1	0.79273	0.20727
-1	-1	0.64826	0.35174
-1	-1	0.89966	0.10034
-1	-1	0.85637	0.14363
-1	-1	0.74334	0.25666
-1	-1	0.80630	0.19370
1	1	0.43270	0.56730
1	1	0.34178	0.65822
1	1	0.27682	0.72318
-1	-1	0.63855	0.36145
-1	-1	0.70012	0.29988
-1	1	0.49670	0.50330
-1	-1	0.59068	0.40932
1	1	0.29515	0.70485
1	1	0.20295	0.79705
1	1	0.20406	0.79594
1	1	0.48100	0.51900
1	-1	0.67659	0.32341
-1	-1	0.67492	0.32508
-1	-1	0.78786	0.21214
-1	-1	0.59036	0.40964
1	1	0.47340	0.52660
1	1	0.37184	0.62816
-1	1	0.38221	0.61779
1	1	0.09851	0.90149
1	1	0.25606	0.74394
1	1	0.43579	0.56421
1	1	0.49448	0.50552
1	1	0.28782	0.71218
1	1	0.38295	0.61705
1	1	0.28267	0.71733
-1	-1	0.66551	0.33449
-1	-1	0.76426	0.23574
-1	-1	0.53085	0.46915
1	1	0.34989	0.65011
1	1	0.31582	0.68418
1	1	0.42453	0.57547
-1	-1	0.67893	0.32107
-1	-1	0.62385	0.37615
1	1	0.44958	0.55042
-1	-1	0.87809	0.12191
1	-1	0.61974	0.38026
1	1	0.40666	0.59334
-1	-1	0.56746	0.43254
1	1	0.40258	0.59742
1	1	0.14884	0.85116
1	1	0.25890	0.74110
-1	-1	0.93489	0.06511
1	1	0.32121	0.67879
-1	-1	0.64098	0.35902
1	1	0.36595	0.63405
1	-1	0.53457	0.46543
-1	-1	0.57639	0.42361
-1	-1	0.54605	0.45395
1	1	0.37158	0.62842
-1	-1	0.76756	0.23244
-1	-1	0.62611	0.37389
1	1	0.16618	0.83382
1	1	0.15459	0.84541
1	1	0.39413	0.60587
1	1	0.10362	0.89638
-1	1	0.49230	0.50770
1	1	0.21921	0.78079
1	1	0.22678	0.77322
1	1	0.27653	0.72347
-1	-1	0.86715	0.13285
-1	-1	0.73770	0.26230
-1	-1	0.56488	0.43512
1	1	0.30029	0.69971
-1	-1	0.62930	0.37070
-1	-1	0.93975	0.06025
1	1	0.40150	0.59850
-1	-1	0.74316	0.25684
-1	-1	0.78091	0.21909
1	1	0.40770	0.59230
-1	-1	0.68830	0.31170
-1	-1	0.78307	0.21693
-1	-1	0.50824	0.49176
-1	-1	0.55805	0.44195
1	1	0.26112	0.73888
1	1	0.22198	0.77802
1	1	0.21055	0.78945
1	1	0.24791	0.75209
1	-1	0.63701	0.36299
-1	-1	0.73092	0.26908
-1	-1	0.68137	0.31863
-1	-1	0.79656	0.20344
-1	-1	0.71959	0.28041
-1	-1	0.73748	0.26252
-1	-1	0.92334	0.07666
-1	-1	0.70725	0.29275
1	1	0.33105	0.66895
1	1	0.22042	0.77958
1	-1	0.83817	0.16183
-1	-1	0.81229	0.18771
1	1	0.18928	0.81072
-1	-1	0.70498	0.29502
1	1	0.40966	0.59034
-1	-1	0.87745	0.12255
1	1	0.16425	0.83575
1	1	0.33880	0.66120
-1	-1	0.56605	0.43395
-1	-1	0.78820	0.21180
1	1	0.32568	0.67432
-1	-1	0.76236	0.23764
1	1	0.42519	0.57481
1	1	0.25018	0.74982
-1	-1	0.68161	0.31839
-1	1	0.30315	0.69685
1	1	0.37159	0.62841
1	1	0.14399	0.85601
-1	-1	0.68196	0.31804
-1	-1	0.58741	0.41259
-1	-1	0.63798	0.36202
1	1	0.41296	0.58704
1	1	0.39921	0.60079
1	1	0.15945	0.84055
-1	-1	0.57705	0.42295
-1	-1	0.56104	0.43896
1	-1	0.50889	0.49111
-1	-1	0.65326	0.34674
1	1	0.30596	0.69404
-1	-1	0.84194	0.15806
-1	-1	0.82076	0.17924
1	1	0.33564	0.66436
1	1	0.36598	0.63402
-1	-1	0.62941	0.37059
1	1	0.21487	0.78513
1	1	0.45416	0.54584
-1	-1	0.69048	0.30952
1	1	0.39181	0.60819
1	1	0.44645	0.55355
1	-1	0.52464	0.47536
1	1	0.18408	0.81592
1	1	0.24615	0.75385
-1	-1	0.62394	0.37606
-1	-1	0.87196	0.12804
1	1	0.37242	0.62758
1	-1	0.50028	0.49972
1	1	0.38212	0.61788
-1	-1	0.62630	0.37370
-1	-1	0.68692	0.31308
1	1	0.17873	0.82127
1	1	0.32355	0.67645
1	1	0.49328	0.50672
1	1	0.41836	0.58164
1	1	0.16276	0.83724
-1	-1	0.61676	0.38324
-1	-1	0.72048	0.27952
1	1	0.28709	0.71291
-1	1	0.39408	0.60592
-1	-1	0.58240	0.41760
-1	-1	0.93432	0.06568
-1	-1	0.53613	0.46387
1	1	0.19039	0.80961
-1	-1	0.63509	0.36491
-1	-1	0.67646	0.32354
1	-1	0.68731	0.31269
-1	-1	0.77470	0.22530
1	1	0.12781	0.87219
1	1	0.38879	0.61121
-1	-1	0.63749	0.36251
1	1	0.14490	0.85510
-1	-1	0.55084	0.44916
1	1	0.38358	0.61642
-1	-1	0.70340	0.29660
-1	-1	0.80911	0.19089
-1	-1	0.68851	0.31149
-1	-1	0.73813	0.26187
-1	-1	0.67975	0.32025
1	1	0.32430	0.67570
-1	-1	0.62806	0.37194
-1	1	0.44600	0.55400
-1	-1	0.60570	0.39430
-1	-1	0.55826	0.44174
-1	-1	0.69423	0.30577
-1	-1	0.75049	0.24951
-1	-1	0.74363	0.25637
1	-1	0.50345	0.49655
1	1	0.26947	0.73053
1	1	0.26216	0.73784
1	1	0.30976	0.69024
-1	-1	0.70599	0.29401
-1	-1	0.80042	0.19958
-1	-1	0.55675	0.44325
-1	-1	0.73533	0.26467
1	1	0.30717	0.69283
1	1	0.32276	0.67724
-1	1	0.42230	0.57770
-1	-1	0.60503	0.39497
1	1	0.29807	0.70193
-1	-1	0.75907	0.24093
-1	-1	0.65014	0.34986
1	1	0.06094	0.93906
1	1	0.42467	0.57533
1	-1	0.57486	0.42514
1	1	0.29270	0.70730
-1	-1	0.63464	0.36536
-1	-1	0.51310	0.48690
1	1	0.35564	0.64436
-1	-1	0.67311	0.32689
1	1	0.28835	0.71165
-1	-1	0.56168	0.43832
-1	-1	0.55424	0.44576
-1	-1	0.61486	0.38514
1	1	0.33343	0.66657
1	1	0.41848	0.58152
1	1	0.32177	0.67823
1	1	0.28592	0.71408
1	1	0.09448	0.90552
1	1	0.32847	0.67153
-1	-1	0.69739	0.30261
-1	-1	0.79947	0.20053
-1	-1	0.64348	0.35652
1	1	0.45796	0.54204
1	1	0.41996	0.58004
1	1	0.37570	0.62430
-1	1	0.49813	0.50187
1	1	0.29951	0.70049
1	-1	0.54808	0.45192
-1	1	0.40249	0.59751
-1	-1	0.53495	0.46505
1	1	0.21676	0.78324
-1	-1	0.53992	0.46008
1	1	0.24118	0.75882
-1	-1	0.53295	0.46705
1	1	0.25229	0.74771
1	1	0.20984	0.79016
1	1	0.19465	0.80535
-1	-1	0.75687	0.24313
-1	-1	0.86953	0.13047
-1	-1	0.83762	0.16238
1	1	0.39639	0.60361
-1	-1	0.77914	0.22086
-1	-1	0.67789	0.32211
-1	-1	0.76504	0.23496
-1	-1	0.79927	0.20073
1	1	0.12840	0.87160
1	1	0.26061	0.73939
-1	-1	0.61923	0.38077
1	1	0.45518	0.54482
1	1	0.15749	0.84251
1	1	0.24456	0.75544
1	1	0.37124	0.62876
-1	-1	0.71482	0.28518
-1	1	0.44161	0.55839
1	1	0.48677	0.51323
-1	-1	0.76481	0.23519
-1	-1	0.62092	0.37908
-1	-1	0.84305	0.15695
-1	-1	0.57217	0.42783
-1	-1	0.68045	0.31955
-1	-1	0.53268	0.46732
1	1	0.16904	0.83096
-1	-1	0.60852	0.39148
-1	-1	0.77624	0.22376
-1	-1	0.64751	0.35249
-1	-1	0.83583	0.16417
-1	1	0.46368	0.53632
1	1	0.31027	0.68973
-1	-1	0.89242	0.10758
-1	-1	0.87023	0.12977
1	1	0.28232	0.71768
1	-1	0.78399	0.21601
-1	-1	0.79587	0.20413
1	-1	0.65390	0.34610
-1	-1	0.55902	0.44098
-1	-1	0.69183	0.30817
-1	-1	0.70559	0.29441
1	1	0.46363	0.53637
1	1	0.19210	0.80790
-1	-1	0.76329	0.23671
1	1	0.42877	0.57123
-1	-1	0.73634	0.26366
1	1	0.34549	0.65451
-1	1	0.48853	0.51147
1	1	0.18675	0.81325
-1	-1	0.61678	0.38322
1	-1	0.63998	0.36002
-1	-1	0.75153	0.24847
1	1	0.23585	0.76415
-1	-1	0.86045	0.13955
1	1	0.24254	0.75746
-1	-1	0.81299	0.18701
1	1	0.49043	0.50957
-1	-1	0.55063	0.44937
1	1	0.32808	0.67192
-1	-1	0.59115	0.40885
1	1	0.39444	0.60556
-1	-1	0.78719	0.21281
1	1	0.13765	0.86235
-1	-1	0.82033	0.17967
-1	-1	0.79796	0.20204
1	1	0.42590	0.57410
1	1	0.32069	0.67931
1	-1	0.58986	0.41014
1	1	0.38001	0.61999
-1	-1	0.77492	0.22508
1	-1	0.55396	0.44604
1	1	0.42065	0.57935
-1	-1	0.82403	0.17597
-1	-1	0.54341	0.45659
1	1	0.12821	0.87179
-1	-1	0.52328	0.47672
1	1	0.31755	0.68245
-1	-1	0.70266	0.29734
1	1	0.47213	0.52787
1	1	0.31641	0.68359
-1	-1	0.70435	0.29565
1	1	0.47915	0.52085
1	1	0.18732	0.81268
-1	-1	0.80533	0.19467
-1	-1	0.74923	0.25077
-1	1	0.46277	0.53723
-1	-1	0.54941	0.45059
1	1	0.31038	0.68962
1	1	0.40594	0.59406
-1	-1	0.64320	0.35680
1	1	0.38984	0.61016
-1	-1	0.58556	0.41444
1	1	0.20211	0.79789
1	1	0.28439	0.71561
1	1	0.39620	0.60380
-1	-1	0.76819	0.23181
-1	-1	0.72171	0.27829
-1	-1	0.69960	0.30040
1	1	0.48175	0.51825
1	1	0.36115	0.63885
-1	-1	0.73629	0.26371
-1	-1	0.76730	0.23270
-1	-1	0.78733	0.21267
1	1	0.38204	0.61796
-1	-1	0.77456	0.22544
-1	-1	0.78746	0.21254
1	1	0.15731	0.84269
1	1	0.26220	0.73780
-1	1	0.37634	0.62366
-1	-1	0.51388	0.48612
-1	-1	0.83107	0.16893
-1	-1	0.89398	0.10602
1	1	0.18449	0.81551
-1	-1	0.83433	0.16567
-1	-1	0.77905	0.22095
-1	-1	0.69683	0.30317
-1	-1	0.75002	0.24998
1	-1	0.52661	0.47339
1	-1	0.55105	0.44895
1	1	0.27508	0.72492
-1	1	0.49710	0.50290
1	1	0.19640	0.80360
1	1	0.10118	0.89882
-1	-1	0.51565	0.48435
1	1	0.29896	0.70104
1	1	0.12903	0.87097
-1	-1	0.55711	0.44289
-1	-1	0.55486	0.44514
-1	-1	0.53141	0.46859
-1	-1	0.79102	0.20898
-1	-1	0.67337	0.32663
1	1	0.42081	0.57919
-1	-1	0.75959	0.24041
-1	-1	0.83364	0.16636
-1	-1	0.63749	0.36251
-1	-1	0.74034	0.25966
-1	-1	0.66870	0.33130
1	-1	0.64028	0.35972
-1	-1	0.85377	0.14623
1	1	0.26169	0.73831
-1	-1	0.58892	0.41108
1	1	0.23011	0.76989
-1	1	0.42022	0.57978
1	1	0.18315	0.81685
1	1	0.40450	0.59550
1	1	0.32470	0.67530
1	1	0.42497	0.57503
-1	-1	0.53142	0.46858
-1	-1	0.88257	0.11743
1	1	0.43148	0.56852
1	1	0.22540	0.77460
-1	-1	0.68765	0.31235
1	-1	0.50149	0.49851
1	1	0.37254	0.62746
-1	-1	0.62839	0.37161
1	1	0.28624	0.71376
-1	-1	0.60444	0.39556
1	1	0.29688	0.70312
-1	-1	0.60873	0.39127
1	1	0.14724	0.85276
1	1	0.44158	0.55842
-1	-1	0.89454	0.10546
1	1	0.43422	0.56578
1	1	0.32508	0.67492
1	1	0.19155	0.80845
-1	-1	0.66511	0.33489
1	-1	0.64342	0.35658
1	1	0.22010	0.77990
-1	-1	0.77517	0.22483
1	1	0.29448	0.70552
-1	-1	0.56607	0.43393
-1	1	0.38586	0.61414
1	1	0.34247	0.65753
-1	-1	0.60891	0.39109
1	1	0.22132	0.77868
1	1	0.22350	0.77650
-1	-1	0.77544	0.22456
1	1	0.37238	0.62762
-1	-1	0.63891	0.36109
1	1	0.27407	0.72593
-1	-1	0.79372	0.20628
1	1	0.43011	0.56989
-1	-1	0.75794	0.24206
1	1	0.42538	0.57462
1	1	0.17890	0.82110
-1	-1	0.80501	0.19499
-1	-1	0.50418	0.49582
-1	-1	0.74922	0.25078
-1	-1	0.68018	0.31982
1	1	0.35698	0.64302
1	-1	0.64092	0.35908
1	1	0.39557	0.60443
-1	-1	0.79393	0.20607
1	1	0.25287	0.74713
1	1	0.39842	0.60158
-1	-1	0.79073	0.20927
-1	-1	0.61537	0.38463
-1	-1	0.58264	0.41736
1	1	0.40200	0.59800
1	1	0.37212	0.62788
-1	-1	0.69988	0.30012
-1	1	0.45693	0.54307
1	1	0.44347	0.55653
1	1	0.20711	0.79289
-1	-1	0.63027	0.36973
-1	-1	0.59126	0.40874
1	1	0.49203	0.50797
-1	-1	0.63087	0.36913
1	1	0.25592	0.74408
1	1	0.47048	0.52952
-1	-1	0.90389	0.09611
1	1	0.27615	0.72385
-1	-1	0.69721	0.30279
1	1	0.42062	0.57938
1	1	0.32550	0.67450
-1	-1	0.53890	0.46110
-1	-1	0.77562	0.22438
-1	-1	0.65151	0.34849
1	1	0.41255	0.58745
1	1	0.40755	0.59245
-1	-1	0.66867	0.33133
-1	-1	0.74588	0.25412
1	1	0.43274	0.56726
1	1	0.21939	0.78061
1	1	0.39853	0.60147
-1	-1	0.72410	0.27590
-1	-1	0.67280	0.32720
1	-1	0.52428	0.47572
-1	-1	0.71882	0.28118
-1	1	0.40672	0.59328
-1	-1	0.73033	0.26967
1	1	0.34604	0.65396
1	1	0.28491	0.71509
-1	-1	0.68932	0.31068
1	1	0.43337	0.56663
-1	-1	0.57884	0.42116
-1	-1	0.80889	0.19111
-1	-1	0.69264	0.30736
-1	-1	0.64550	0.35450
-1	-1	0.79984	0.20016
-1	1	0.48564	0.51436
-1	-1	0.62865	0.37135
-1	-1	0.83240	0.16760
-1	-1	0.63165	0.36835
1	1	0.46096	0.53904
-1	-1	0.82551	0.17449
1	1	0.18235	0.81765
-1	-1	0.59228	0.40772
-1	-1	0.83767	0.16233
-1	1	0.49886	0.50114
1	1	0.04048	0.95952
1	1	0.37674	0.62326
1	1	0.23550	0.76450
1	1	0.34917	0.65083
-1	-1	0.61089	0.38911
1	1	0.33336	0.66664
-1	-1	0.62935	0.37065
-1	-1	0.50948	0.49052
-1	-1	0.60409	0.39591
-1	-1	0.62459	0.37541
1	1	0.49485	0.50515
1	1	0.36835	0.63165
-1	-1	0.53306	0.46694
-1	-1	0.67305	0.32695
1	-1	0.60952	0.39048
-1	-1	0.66319	0.33681
-1	-1	0.70908	0.29092
1	1	0.39066	0.60934
1	1	0.40011	0.59989
1	1	0.16427	0.83573
1	1	0.28475	0.71525
-1	-1	0.74657	0.25343
-1	1	0.46894	0.53106
-1	-1	0.69472	0.30528
1	1	0.34324	0.65676
-1	-1	0.80972	0.19028
-1	1	0.38470	0.61530
-1	-1	0.56425	0.43575
1	1	0.32278	0.67722
1	1	0.31860	0.68140
-1	-1	0.74121	0.25879
-1	-1	0.59041	0.40959
-1	-1	0.83469	0.16531
1	1	0.29645	0.70355
1	1	0.42935	0.57065
-1	-1	0.97494	0.02506
1	1	0.34607	0.65393
-1	-1	0.58759	0.41241
-1	1	0.44952	0.55048
-1	-1	0.65536	0.34464
-1	-1	0.88248	0.11752
-1	-1	0.69042	0.30958
-1	1	0.43675	0.56325
-1	-1	0.62369	0.37631
1	1	0.24935	0.75065
-1	-1	0.83884	0.16116
-1	-1	0.58647	0.41353
1	1	0.27223	0.72777
1	1	0.41024	0.58976
1	1	0.38710	0.61290
-1	-1	0.55738	0.44262
-1	-1	0.67647	0.32353
1	1	0.24788	0.75212
1	1	0.30685	0.69315
1	1	0.34982	0.65018
1	1	0.23156	0.76844
-1	-1	0.56749	0.43251
-1	-1	0.73526	0.26474
-1	-1	0.71097	0.28903
1	1	0.30167	0.69833
1	1	0.23248	0.76752
1	1	0.31270	0.68730
-1	-1	0.54666	0.45334
1	1	0.33176	0.66824
-1	-1	0.64179	0.35821
-1	-1	0.73245	0.26755
-1	-1	0.78709	0.21291
1	1	0.39145	0.60855
1	-1	0.54740	0.45260
1	1	0.38486	0.61514
-1	-1	0.81775	0.18225
-1	-1	0.77018	0.22982
-1	-1	0.88730	0.11270
1	1	0.26914	0.73086
-1	-1	0.62325	0.37675
-1	-1	0.72880	0.27120
1	1	0.09818	0.90182
1	1	0.05864	0.94136
1	1	0.19641	0.80359
-1	-1	0.66780	0.33220
-1	-1	0.57942	0.42058
1	-1	0.56303	0.43697
1	1	0.40048	0.59952
-1	1	0.47810	0.52190
1	1	0.32003	0.67997
-1	-1	0.65863	0.34137
-1	-1	0.66620	0.33380
-1	-1	0.84220	0.15780
1	1	0.23844	0.76156
1	1	0.37344	0.62656
-1	1	0.46323	0.53677
1	1	0.24896	0.75104
-1	1	0.39061	0.60939
1	-1	0.69543	0.30457
-1	-1	0.67008	0.32992
-1	-1	0.71832	0.28168
-1	-1	0.60891	0.39109
1	1	0.41733	0.58267
-1	-1	0.78807	0.21193
1	1	0.19403	0.80597
1	1	0.23452	0.76548
1	1	0.29513	0.70487
-1	-1	0.72819	0.27181
1	1	0.31544	0.68456
1	1	0.19083	0.80917
-1	1	0.34920	0.65080
1	1	0.35427	0.64573
-1	-1	0.79805	0.20195
-1	-1	0.66942	0.33058
-1	-1	0.63489	0.36511
1	1	0.43708	0.56292
-1	-1	0.57943	0.42057
-1	-1	0.74857	0.25143
-1	-1	0.58546	0.41454
1	1	0.48424	0.51576
1	1	0.16295	0.83705
-1	-1	0.87406	0.12594
1	1	0.28928	0.71072
1	1	0.27332	0.72668
-1	-1	0.58550	0.41450
1	-1	0.66827	0.33173
1	1	0.37140	0.62860
1	1	0.39067	0.60933
